time,open,high,low,close,volume
2026-06-04 09:15:00,41.9,41.95,41.9,41.95,42100
2026-06-04 09:16:00,41.9,42.0,41.9,41.95,12400
2026-06-04 09:17:00,41.95,41.95,41.9,41.9,600
2026-06-04 09:18:00,41.9,41.9,41.85,41.85,1000
2026-06-04 09:19:00,41.85,41.9,41.85,41.85,3700
2026-06-04 09:20:00,41.85,41.9,41.85,41.9,1300
2026-06-04 09:21:00,41.9,41.9,41.85,41.85,400
2026-06-04 09:22:00,41.85,41.85,41.85,41.85,6100
2026-06-04 09:23:00,41.85,41.9,41.85,41.85,1800
2026-06-04 09:24:00,41.85,41.9,41.85,41.9,26500
2026-06-04 09:25:00,41.85,41.9,41.85,41.9,12500
2026-06-04 09:26:00,41.85,42.15,41.85,42.15,15000
2026-06-04 09:27:00,42.15,42.25,42.15,42.2,59900
2026-06-04 09:28:00,42.25,42.3,42.2,42.3,40000
2026-06-04 09:29:00,42.3,42.5,42.3,42.45,143000
2026-06-04 09:30:00,42.45,42.65,42.45,42.65,192600
2026-06-04 09:31:00,42.65,42.65,42.5,42.55,71200
2026-06-04 09:32:00,42.5,42.5,42.4,42.45,111500
2026-06-04 09:33:00,42.45,42.5,42.4,42.4,70300
2026-06-04 09:34:00,42.4,42.45,42.4,42.45,32100
2026-06-04 09:35:00,42.45,42.45,42.4,42.4,25000
2026-06-04 09:36:00,42.35,42.4,42.35,42.4,8100
2026-06-04 09:37:00,42.35,42.4,42.35,42.4,16900
2026-06-04 09:38:00,42.35,42.45,42.35,42.4,39200
2026-06-04 09:39:00,42.4,42.4,42.35,42.35,6100
2026-06-04 09:40:00,42.4,42.4,42.35,42.35,11900
2026-06-04 09:41:00,42.35,42.35,42.3,42.3,31200
2026-06-04 09:42:00,42.3,42.35,42.25,42.25,9400
2026-06-04 09:43:00,42.25,42.3,42.25,42.25,28900
2026-06-04 09:44:00,42.25,42.3,42.25,42.3,8700
2026-06-04 09:45:00,42.25,42.35,42.25,42.35,93300
2026-06-04 09:46:00,42.35,42.4,42.35,42.4,21000
2026-06-04 09:47:00,42.4,42.45,42.4,42.45,37000
2026-06-04 09:48:00,42.45,42.45,42.45,42.45,14900
2026-06-04 09:49:00,42.45,42.5,42.4,42.5,22300
2026-06-04 09:50:00,42.45,42.55,42.45,42.5,123000
2026-06-04 09:51:00,42.5,42.55,42.5,42.5,32100
2026-06-04 09:52:00,42.5,42.65,42.5,42.6,173500
2026-06-04 09:53:00,42.6,42.7,42.6,42.7,72300
2026-06-04 09:54:00,42.7,42.75,42.65,42.75,56300
2026-06-04 09:55:00,42.75,42.8,42.7,42.75,43600
2026-06-04 09:56:00,42.75,42.8,42.75,42.75,39800
2026-06-04 09:57:00,42.7,42.75,42.7,42.7,39300
2026-06-04 09:58:00,42.65,42.7,42.65,42.65,23100
2026-06-04 09:59:00,42.65,42.7,42.65,42.65,12900
2026-06-04 10:00:00,42.65,42.65,42.6,42.65,36000
2026-06-04 10:01:00,42.6,42.65,42.6,42.6,27900
2026-06-04 10:02:00,42.6,42.6,42.6,42.6,11900
2026-06-04 10:03:00,42.6,42.65,42.6,42.65,15500
2026-06-04 10:04:00,42.65,42.65,42.65,42.65,9800
2026-06-04 10:05:00,42.65,42.65,42.6,42.6,6900
2026-06-04 10:06:00,42.6,42.7,42.6,42.7,40400
2026-06-04 10:07:00,42.7,42.7,42.65,42.65,6200
2026-06-04 10:08:00,42.65,42.7,42.65,42.65,2700
2026-06-04 10:09:00,42.65,42.65,42.65,42.65,600
2026-06-04 10:10:00,42.65,42.75,42.65,42.65,44200
2026-06-04 10:11:00,42.7,42.7,42.65,42.7,1800
2026-06-04 10:12:00,42.7,42.7,42.65,42.7,2400
2026-06-04 10:13:00,42.7,42.7,42.65,42.65,13400
2026-06-04 10:14:00,42.65,42.65,42.65,42.65,10900
2026-06-04 10:15:00,42.6,42.65,42.6,42.6,9800
2026-06-04 10:16:00,42.6,42.6,42.55,42.55,22800
2026-06-04 10:17:00,42.55,42.55,42.55,42.55,48400
2026-06-04 10:18:00,42.55,42.55,42.5,42.55,15300
2026-06-04 10:19:00,42.5,42.5,42.5,42.5,7700
2026-06-04 10:20:00,42.5,42.5,42.5,42.5,21900
2026-06-04 10:21:00,42.45,42.5,42.45,42.45,3800
2026-06-04 10:22:00,42.45,42.5,42.45,42.5,3200
2026-06-04 10:23:00,42.5,42.5,42.45,42.45,3500
2026-06-04 10:24:00,42.45,42.45,42.45,42.45,4000
2026-06-04 10:25:00,42.45,42.45,42.45,42.45,6800
2026-06-04 10:26:00,42.45,42.45,42.45,42.45,16800
2026-06-04 10:27:00,42.45,42.45,42.45,42.45,11000
2026-06-04 10:28:00,42.4,42.4,42.4,42.4,600
2026-06-04 10:29:00,42.4,42.45,42.4,42.4,4200
2026-06-04 10:30:00,42.4,42.45,42.4,42.45,900
2026-06-04 10:31:00,42.4,42.4,42.4,42.4,4500
2026-06-04 10:32:00,42.4,42.4,42.4,42.4,300
2026-06-04 10:33:00,42.45,42.5,42.4,42.5,20000
2026-06-04 10:34:00,42.5,42.5,42.45,42.45,4400
2026-06-04 10:35:00,42.45,42.45,42.4,42.45,23000
2026-06-04 10:36:00,42.4,42.45,42.4,42.4,3800
2026-06-04 10:37:00,42.4,42.45,42.4,42.4,4700
2026-06-04 10:38:00,42.4,42.45,42.4,42.4,900
2026-06-04 10:39:00,42.4,42.4,42.4,42.4,10500
2026-06-04 10:40:00,42.4,42.4,42.35,42.4,17000
2026-06-04 10:41:00,42.35,42.35,42.35,42.35,3300
2026-06-04 10:42:00,42.35,42.35,42.35,42.35,2500
2026-06-04 10:43:00,42.35,42.35,42.35,42.35,9000
2026-06-04 10:44:00,42.35,42.35,42.3,42.35,7600
2026-06-04 10:45:00,42.35,42.35,42.35,42.35,8600
2026-06-04 10:46:00,42.35,42.4,42.35,42.4,22200
2026-06-04 10:47:00,42.35,42.4,42.35,42.4,3500
2026-06-04 10:48:00,42.35,42.35,42.35,42.35,6200
2026-06-04 10:49:00,42.3,42.3,42.3,42.3,100
2026-06-04 10:50:00,42.3,42.3,42.3,42.3,4200
2026-06-04 10:51:00,42.3,42.35,42.3,42.35,5000
2026-06-04 10:52:00,42.3,42.3,42.3,42.3,13400
2026-06-04 10:53:00,42.35,42.35,42.3,42.3,600
2026-06-04 10:54:00,42.3,42.3,42.3,42.3,66100
2026-06-04 10:55:00,42.25,42.3,42.25,42.3,300
2026-06-04 10:56:00,42.25,42.25,42.25,42.25,400
2026-06-04 10:57:00,42.25,42.3,42.25,42.25,3100
2026-06-04 10:58:00,42.25,42.25,42.25,42.25,10000
2026-06-04 10:59:00,42.25,42.25,42.25,42.25,1600
2026-06-04 11:00:00,42.25,42.25,42.2,42.2,2200
2026-06-04 11:01:00,42.25,42.25,42.2,42.2,800
2026-06-04 11:02:00,42.2,42.2,42.2,42.2,600
2026-06-04 11:03:00,42.2,42.25,42.2,42.25,1500
2026-06-04 11:04:00,42.2,42.2,42.2,42.2,1500
2026-06-04 11:05:00,42.2,42.25,42.2,42.25,2100
2026-06-04 11:06:00,42.2,42.25,42.2,42.25,3500
2026-06-04 11:07:00,42.25,42.25,42.25,42.25,3200
2026-06-04 11:08:00,42.25,42.3,42.25,42.25,1300
2026-06-04 11:09:00,42.25,42.3,42.25,42.3,1500
2026-06-04 11:10:00,42.25,42.3,42.25,42.3,2300
2026-06-04 11:11:00,42.3,42.3,42.25,42.25,1900
2026-06-04 11:12:00,42.25,42.25,42.25,42.25,1700
2026-06-04 11:13:00,42.25,42.3,42.25,42.3,900
2026-06-04 11:14:00,42.25,42.25,42.25,42.25,1600
2026-06-04 11:15:00,42.25,42.25,42.25,42.25,700
2026-06-04 11:16:00,42.25,42.25,42.25,42.25,800
2026-06-04 11:17:00,42.25,42.25,42.25,42.25,2500
2026-06-04 11:18:00,42.25,42.25,42.25,42.25,2100
2026-06-04 11:19:00,42.25,42.25,42.25,42.25,17900
2026-06-04 11:20:00,42.25,42.25,42.25,42.25,1300
2026-06-04 11:21:00,42.25,42.25,42.25,42.25,800
