time,open,high,low,close,volume
2026-05-27 09:15:00,47.5,47.5,47.5,47.5,127900
2026-05-27 09:30:00,47.55,47.55,47.55,47.55,33600
2026-05-27 09:45:00,47.8,47.8,47.8,47.8,28400
2026-05-27 10:00:00,47.85,47.85,47.85,47.85,8400
2026-05-27 10:15:00,47.95,47.95,47.95,47.95,28000
2026-05-27 10:30:00,47.9,47.9,47.9,47.9,39400
2026-05-27 10:45:00,47.85,47.85,47.85,47.85,42300
2026-05-27 11:00:00,47.85,47.85,47.85,47.85,12400
2026-05-27 11:15:00,47.9,47.9,47.9,47.9,10200
2026-05-27 11:30:00,47.85,47.85,47.85,47.85,5700
2026-05-27 13:15:00,47.9,47.9,47.9,47.9,31300
2026-05-27 13:30:00,47.9,47.9,47.9,47.9,40300
2026-05-27 13:45:00,47.95,47.95,47.95,47.95,89600
2026-05-27 14:00:00,47.9,47.9,47.9,47.9,131500
2026-05-27 14:15:00,47.8,47.8,47.8,47.8,103600
2026-05-27 14:30:00,47.8,47.8,47.8,47.8,129300
2026-05-27 14:45:00,47.75,47.75,47.75,47.75,135200
