time,open,high,low,close,volume
2026-05-26 09:15:00,25.75,25.8,25.61,25.61,27800
2026-05-26 09:16:00,25.66,25.66,25.66,25.66,1500
2026-05-26 09:18:00,25.61,25.61,25.61,25.61,500
2026-05-26 09:19:00,25.61,25.61,25.61,25.61,1400
2026-05-26 09:20:00,25.61,25.66,25.61,25.66,600
2026-05-26 09:21:00,25.66,25.66,25.66,25.66,2100
2026-05-26 09:22:00,25.66,25.66,25.66,25.66,1300
2026-05-26 09:23:00,25.66,25.66,25.66,25.66,100
2026-05-26 09:24:00,25.66,25.66,25.66,25.66,1300
2026-05-26 09:25:00,25.66,25.66,25.66,25.66,2200
2026-05-26 09:26:00,25.66,25.66,25.66,25.66,200
2026-05-26 09:27:00,25.66,25.66,25.66,25.66,1300
2026-05-26 09:28:00,25.7,25.7,25.7,25.7,1200
2026-05-26 09:29:00,25.7,25.7,25.7,25.7,400
2026-05-26 09:30:00,25.7,25.7,25.7,25.7,1300
2026-05-26 09:31:00,25.7,25.7,25.7,25.7,1300
2026-05-26 09:32:00,25.7,25.7,25.7,25.7,5000
2026-05-26 09:33:00,25.7,25.7,25.7,25.7,7100
2026-05-26 09:34:00,25.7,25.7,25.7,25.7,300
2026-05-26 09:35:00,25.7,25.7,25.7,25.7,100
2026-05-26 09:36:00,25.7,25.75,25.7,25.75,4700
2026-05-26 09:37:00,25.7,25.75,25.7,25.7,4300
2026-05-26 09:38:00,25.66,25.66,25.66,25.66,100
2026-05-26 09:39:00,25.7,25.7,25.7,25.7,1400
2026-05-26 09:40:00,25.66,25.7,25.66,25.7,1300
2026-05-26 09:41:00,25.66,25.66,25.66,25.66,9300
2026-05-26 09:42:00,25.66,25.7,25.66,25.7,7100
2026-05-26 09:43:00,25.66,25.7,25.61,25.61,9400
2026-05-26 09:45:00,25.66,25.7,25.66,25.7,1700
2026-05-26 09:46:00,25.7,25.7,25.7,25.7,2800
2026-05-26 09:47:00,25.66,25.7,25.66,25.7,1400
2026-05-26 09:48:00,25.66,25.7,25.66,25.7,7600
2026-05-26 09:49:00,25.7,25.75,25.7,25.75,2400
2026-05-26 09:50:00,25.75,25.75,25.75,25.75,6800
2026-05-26 09:51:00,25.7,25.75,25.7,25.75,1300
2026-05-26 09:52:00,25.7,25.75,25.7,25.75,1600
2026-05-26 09:54:00,25.7,25.75,25.7,25.75,1400
2026-05-26 09:55:00,25.7,25.75,25.7,25.75,2100
2026-05-26 09:56:00,25.7,25.75,25.7,25.75,3000
2026-05-26 09:57:00,25.75,25.75,25.7,25.75,1900
2026-05-26 09:58:00,25.7,25.75,25.7,25.75,10500
2026-05-26 09:59:00,25.7,25.75,25.7,25.75,1100
2026-05-26 10:00:00,25.75,25.75,25.7,25.7,2700
2026-05-26 10:01:00,25.75,25.75,25.75,25.75,1400
2026-05-26 10:02:00,25.75,25.8,25.75,25.8,600
2026-05-26 10:03:00,25.8,25.8,25.8,25.8,17700
2026-05-26 10:04:00,25.8,25.85,25.8,25.85,8900
2026-05-26 10:05:00,25.85,25.85,25.85,25.85,6400
2026-05-26 10:06:00,25.85,25.95,25.85,25.95,16400
2026-05-26 10:07:00,25.95,26.0,25.9,25.95,16000
2026-05-26 10:08:00,25.95,25.95,25.9,25.9,16800
2026-05-26 10:09:00,25.9,25.9,25.9,25.9,1400
2026-05-26 10:10:00,25.9,25.9,25.9,25.9,500
2026-05-26 10:11:00,25.95,25.95,25.9,25.9,4200
2026-05-26 10:12:00,25.9,25.95,25.9,25.9,4700
2026-05-26 10:13:00,25.9,25.95,25.9,25.95,18500
2026-05-26 10:14:00,26.0,26.0,25.95,26.0,10100
2026-05-26 10:15:00,26.05,26.2,26.0,26.2,79100
2026-05-26 10:16:00,26.15,26.2,26.1,26.15,35200
2026-05-26 10:17:00,26.1,26.2,26.1,26.2,41000
2026-05-26 10:18:00,26.2,26.2,26.15,26.2,26300
2026-05-26 10:19:00,26.2,26.24,26.2,26.2,14800
