time,open,high,low,close,volume
2026-05-26 09:15:00,70.3,70.3,70.2,70.2,109400
2026-05-26 09:16:00,70.3,70.3,69.8,70.0,120900
2026-05-26 09:17:00,70.0,70.2,70.0,70.2,31700
2026-05-26 09:18:00,70.2,70.2,70.1,70.1,17500
2026-05-26 09:19:00,70.1,70.2,70.1,70.2,2100
2026-05-26 09:20:00,70.2,70.2,70.1,70.1,28800
2026-05-26 09:21:00,70.1,70.1,69.9,69.9,104500
2026-05-26 09:22:00,69.9,69.9,69.7,69.7,42900
2026-05-26 09:23:00,69.8,69.9,69.7,69.9,12300
2026-05-26 09:24:00,70.0,70.1,69.9,70.0,33300
2026-05-26 09:25:00,70.0,70.1,69.9,70.1,5200
2026-05-26 09:26:00,70.0,70.1,70.0,70.1,5900
2026-05-26 09:27:00,70.1,70.2,70.0,70.2,19700
2026-05-26 09:28:00,70.2,70.2,70.2,70.2,2900
2026-05-26 09:29:00,70.2,70.2,70.1,70.2,16800
2026-05-26 09:30:00,70.3,70.3,70.3,70.3,5000
2026-05-26 09:31:00,70.3,70.4,70.2,70.4,28800
2026-05-26 09:32:00,70.4,70.4,70.2,70.2,19600
2026-05-26 09:33:00,70.2,70.2,70.2,70.2,400
2026-05-26 09:34:00,70.3,70.4,70.2,70.4,8700
2026-05-26 09:35:00,70.4,70.4,70.3,70.3,12000
2026-05-26 09:36:00,70.3,70.4,70.3,70.4,6400
2026-05-26 09:38:00,70.4,70.4,70.3,70.4,6700
2026-05-26 09:39:00,70.4,70.4,70.4,70.4,9800
2026-05-26 09:40:00,70.4,70.5,70.4,70.5,19800
2026-05-26 09:41:00,70.5,70.5,70.5,70.5,7800
2026-05-26 09:42:00,70.5,70.5,70.5,70.5,14500
2026-05-26 09:43:00,70.5,70.5,70.4,70.4,2800
2026-05-26 09:44:00,70.4,70.5,70.4,70.5,3700
2026-05-26 09:45:00,70.6,70.6,70.6,70.6,16000
2026-05-26 09:46:00,70.6,70.6,70.4,70.5,4300
2026-05-26 09:47:00,70.5,70.6,70.5,70.5,10100
2026-05-26 09:48:00,70.5,70.5,70.5,70.5,3000
2026-05-26 09:49:00,70.6,70.6,70.5,70.5,5600
2026-05-26 09:50:00,70.6,70.9,70.6,70.8,66200
2026-05-26 09:51:00,70.9,70.9,70.8,70.9,28200
2026-05-26 09:52:00,70.8,70.8,70.3,70.3,48700
2026-05-26 09:53:00,70.5,70.5,70.5,70.5,6500
2026-05-26 09:54:00,70.7,70.7,70.7,70.7,1500
2026-05-26 09:55:00,70.7,70.8,70.7,70.7,18900
2026-05-26 09:56:00,70.7,70.7,70.6,70.6,2600
2026-05-26 09:57:00,70.5,70.6,70.5,70.6,6600
2026-05-26 09:58:00,70.6,70.6,70.6,70.6,5400
2026-05-26 09:59:00,70.5,70.6,70.5,70.5,9000
2026-05-26 10:00:00,70.6,70.6,70.5,70.5,12600
2026-05-26 10:01:00,70.5,70.5,70.5,70.5,400
2026-05-26 10:02:00,70.6,70.6,70.5,70.5,600
2026-05-26 10:03:00,70.5,70.5,70.5,70.5,400
2026-05-26 10:04:00,70.5,70.5,70.3,70.5,66400
2026-05-26 10:05:00,70.4,70.4,70.4,70.4,1200
2026-05-26 10:07:00,70.5,70.6,70.5,70.6,1300
2026-05-26 10:08:00,70.5,70.6,70.5,70.6,7400
2026-05-26 10:10:00,70.6,70.6,70.6,70.6,700
2026-05-26 10:11:00,70.6,70.6,70.5,70.5,15900
2026-05-26 10:12:00,70.5,70.5,70.5,70.5,1100
2026-05-26 10:13:00,70.6,70.6,70.6,70.6,6000
2026-05-26 10:14:00,70.5,70.5,70.5,70.5,1500
2026-05-26 10:15:00,70.6,70.6,70.5,70.5,35000
2026-05-26 10:16:00,70.5,70.5,70.5,70.5,2000
2026-05-26 10:17:00,70.5,70.5,70.5,70.5,26000
2026-05-26 10:18:00,70.5,70.5,70.4,70.5,21600
2026-05-26 10:19:00,70.5,70.5,70.4,70.4,17500
2026-05-26 10:20:00,70.4,70.4,70.4,70.4,14800
2026-05-26 10:21:00,70.4,70.4,70.3,70.3,43900
2026-05-26 10:22:00,70.3,70.4,70.3,70.3,17800
2026-05-26 10:23:00,70.3,70.4,70.3,70.4,2500
2026-05-26 10:24:00,70.4,70.4,70.3,70.4,15700
2026-05-26 10:25:00,70.4,70.4,70.3,70.3,2700
2026-05-26 10:26:00,70.3,70.4,70.2,70.2,32800
2026-05-26 10:27:00,70.1,70.3,70.1,70.2,39400
2026-05-26 10:28:00,70.2,70.2,70.1,70.1,7300
2026-05-26 10:29:00,70.3,70.3,70.3,70.3,200
2026-05-26 10:30:00,70.3,70.3,70.2,70.3,10100
2026-05-26 10:31:00,70.2,70.2,70.2,70.2,4400
2026-05-26 10:32:00,70.2,70.2,70.2,70.2,1000
2026-05-26 10:33:00,70.2,70.2,70.1,70.1,40500
2026-05-26 10:34:00,70.2,70.2,70.2,70.2,4000
2026-05-26 10:35:00,70.3,70.3,70.2,70.2,6700
2026-05-26 10:36:00,70.3,70.3,70.1,70.1,31100
2026-05-26 10:37:00,70.1,70.2,70.1,70.1,23700
2026-05-26 10:38:00,70.2,70.2,70.1,70.1,400
2026-05-26 10:39:00,70.1,70.2,70.1,70.2,26100
2026-05-26 10:40:00,70.1,70.2,70.1,70.1,29300
2026-05-26 10:41:00,70.1,70.2,70.1,70.1,27200
2026-05-26 10:42:00,70.1,70.2,70.1,70.1,2400
2026-05-26 10:43:00,70.1,70.1,70.1,70.1,42900
2026-05-26 10:44:00,70.1,70.1,70.0,70.0,102300
2026-05-26 10:45:00,70.0,70.1,70.0,70.0,3100
2026-05-26 10:46:00,70.0,70.1,70.0,70.1,22500
2026-05-26 10:47:00,70.1,70.1,70.0,70.0,3100
2026-05-26 10:48:00,70.1,70.2,70.0,70.2,20900
2026-05-26 10:49:00,70.2,70.2,70.1,70.1,1800
2026-05-26 10:50:00,70.2,70.2,70.2,70.2,200
2026-05-26 10:51:00,70.1,70.2,70.1,70.1,19800
2026-05-26 10:52:00,70.1,70.2,70.0,70.0,44800
2026-05-26 10:53:00,70.1,70.1,69.9,70.0,13400
